h3,name,holc,access_min,access_km,street_m,access_src
8828301761fffff,Bayo Vista NW 4,,32.7,2.62,0.0,routed
8828301763fffff,Bayo Vista NW 7,,44.1,3.53,0.0,routed
8828301765fffff,Bayo Vista NW 3,,35.6,2.85,0.0,routed
8828301767fffff,Bayo Vista NW 5,,41.1,3.28,0.0,routed
8828301769fffff,Rodeo NW,,28.5,2.28,0.0,routed
882830176bfffff,Bayo Vista NW 6,,39.3,3.15,0.0,routed
882830176dfffff,Bayo Vista NW 2,,21.4,1.71,0.0,routed
8828301a09fffff,Clyde N 10,,151.9,12.15,0.0,routed
8828301a41fffff,Clyde N 4,,137.9,11.03,1227.0,routed
8828301a43fffff,Clyde NW 7,,150.0,12.0,439.0,routed
8828301a45fffff,Clyde N 5,,133.9,10.72,4687.0,routed
8828301a47fffff,Clyde N 7,,143.9,11.51,2385.0,routed
8828301a49fffff,Clyde NW 3,,147.1,11.77,958.0,routed
8828301a4bfffff,Clyde NW 5,,155.8,12.46,0.0,routed
8828301a4dfffff,Clyde N 2,,120.2,9.61,3286.0,routed
8828301a51fffff,Clyde NW 11,,170.1,13.61,0.0,routed
8828301a55fffff,Clyde NW 10,,160.6,12.85,0.0,routed
8828301a57fffff,Clyde NW 13,,172.0,13.76,0.0,routed
8828301a59fffff,Clyde NW 9,,95.8,7.67,0.0,routed
8828301a5bfffff,Clyde NW 12,,108.5,8.68,0.0,routed
8828301a5dfffff,Clyde NW 8,,161.8,12.94,0.0,routed
8828301a61fffff,Clyde N 9,,156.6,12.53,0.0,routed
8828301a65fffff,Shore Acres NW 10,,153.5,12.28,0.0,routed
8828301a69fffff,Clyde N 6,,145.1,11.6,1906.0,routed
8828301a6bfffff,Clyde N 8,,145.4,11.63,2563.0,routed
8828301a6dfffff,Shore Acres NW 9,,146.0,11.68,991.0,routed
8828301b41fffff,Shore Acres N 5,,133.1,10.65,0.0,routed
8828301b49fffff,Shore Acres N 2,,123.9,9.91,0.0,routed
8828301b4bfffff,Shore Acres N 4,,136.3,10.9,0.0,routed
8828301b4dfffff,Shore Acres N 3,,124.7,9.98,0.0,routed
8828301b59fffff,Shore Acres NW 8,,160.4,12.83,0.0,routed
8828301b5dfffff,Shore Acres N 6,,168.5,13.48,0.0,routed
8828305245fffff,Edgewater Mobile Home Park,,189.5,15.16,1006.0,routed
8828305261fffff,The Willows At Bethel Island NW 20,,204.2,16.34,102.0,routed
8828305263fffff,Edgewater Mobile Home Park E 2,,211.6,16.93,491.0,routed
8828305265fffff,The Willows At Bethel Island NW 19,,224.9,17.99,1250.0,routed
8828305267fffff,The Willows At Bethel Island NW 21,,216.1,17.29,1091.0,routed
8828305269fffff,The Willows At Bethel Island NW 18,,192.4,15.39,813.0,routed
882830526bfffff,Edgewater Mobile Home Park E,,200.3,16.03,1323.0,routed
882830526dfffff,The Willows At Bethel Island NW 16,,214.0,17.12,987.0,routed
8828305341fffff,The Willows At Bethel Island N 16,,240.5,19.24,0.0,routed
8828305343fffff,The Willows At Bethel Island N 19,,242.7,19.41,93.0,routed
8828305345fffff,The Willows At Bethel Island N 18,,147.7,11.81,0.0,routed
8828305347fffff,The Willows At Bethel Island N 20,,251.6,20.13,0.0,routed
8828305349fffff,The Willows At Bethel Island N 12,,229.7,18.38,0.0,routed
882830534bfffff,The Willows At Bethel Island N 15,,231.1,18.49,0.0,routed
882830534dfffff,The Willows At Bethel Island N 13,,135.9,10.87,0.0,routed
8828305359fffff,The Willows At Bethel Island N 17,,228.7,18.3,681.0,routed
882830535bfffff,The Willows At Bethel Island N 22,,236.2,18.89,210.0,routed
8828305369fffff,The Willows At Bethel Island N 21,,155.7,12.46,0.0,routed
882830536dfffff,The Willows At Bethel Island NE 25,,164.7,13.18,0.0,routed
8828308801fffff,Orinda,,18.0,1.44,6205.0,routed
8828308803fffff,Orinda NW,,16.6,1.33,7667.0,routed
8828308805fffff,Orinda NE,,33.2,2.65,3756.0,routed
8828308807fffff,Orinda N,,32.5,2.6,5397.0,routed
8828308809fffff,Orinda S,,28.2,2.26,8365.0,routed
882830880bfffff,Orinda W,,9.4,0.75,970.0,routed
882830880dfffff,Orinda E,,28.9,2.31,4214.0,routed
8828308811fffff,Orinda NW 4,,12.6,1.01,6694.0,routed
8828308813fffff,Orinda NW 6,,5.8,0.46,1345.0,routed
8828308815fffff,Orinda NW 3,,19.3,1.55,5478.0,routed
8828308817fffff,Orinda NW 5,,24.2,1.93,4068.0,routed
8828308819fffff,Wilder NW 5,,34.5,2.76,5258.0,routed
882830881bfffff,Wilder NW 6,,45.3,3.63,2849.0,routed
882830881dfffff,Orinda NW 2,,18.3,1.46,5131.0,routed
8828308821fffff,Orinda NE 4,,13.6,1.08,6978.0,routed
8828308823fffff,Orinda NE 5,,33.9,2.71,4476.0,routed
8828308825fffff,Lafayette NW 3,,21.8,1.74,4612.0,routed
8828308827fffff,Lafayette NW 6,,28.9,2.31,5951.0,routed
8828308829fffff,Orinda NE 3,,17.2,1.38,7477.0,routed
882830882bfffff,Orinda NE 2,,31.9,2.55,6349.0,routed
882830882dfffff,Lafayette W 4,,6.7,0.54,2586.0,routed
8828308831fffff,Orinda N 5,,54.1,4.33,4579.0,routed
8828308833fffff,Orinda N 7,,52.5,4.2,5434.0,routed
8828308835fffff,Orinda N 6,,54.9,4.39,4851.0,routed
8828308837fffff,Orinda N 8,,57.0,4.56,3497.0,routed
8828308839fffff,Orinda N 2,,29.3,2.35,7783.0,routed
882830883bfffff,Orinda N 4,,31.0,2.48,5164.0,routed
882830883dfffff,Orinda N 3,,41.1,3.29,7310.0,routed
8828308841fffff,Wilder SE,,23.5,1.88,1435.0,routed
8828308843fffff,Wilder,,12.2,0.98,7879.0,routed
8828308845fffff,Glorietta,,31.4,2.51,4949.0,routed
8828308847fffff,Wilder NE,,25.0,2.0,6248.0,routed
8828308849fffff,Wilder S 2,,28.5,2.28,0.0,routed
882830884bfffff,Wilder S,,37.1,2.97,1652.0,routed
882830884dfffff,Lost Valley,,38.2,3.05,2981.0,routed
8828308851fffff,Wilder NW 2,,18.8,1.5,579.0,routed
8828308853fffff,Wilder NW 4,,45.4,3.63,0.0,routed
8828308855fffff,Wilder NW,,13.1,1.05,1012.0,routed
8828308857fffff,Wilder NW 3,,30.1,2.41,0.0,routed
8828308859fffff,Wilder W 2,,44.8,3.58,1166.0,routed
882830885bfffff,Parkwoods Condominiums NE,,44.3,3.55,1145.0,routed
882830885dfffff,Wilder W,,11.0,0.88,860.0,routed
8828308861fffff,Glorietta NE 2,,35.4,2.83,2573.0,routed
8828308863fffff,Orinda E 2,,31.6,2.53,6693.0,routed
8828308865fffff,Rheem Valley NW 3,,22.5,1.8,418.0,routed
8828308867fffff,Glorietta NE 3,,28.7,2.3,0.0,routed
8828308869fffff,Glorietta E,,45.0,3.6,5027.0,routed
882830886bfffff,Glorietta NE,,39.3,3.15,6115.0,routed
