h3,pop,pct65,income,ac_est
882830886dfffff,726.0,12.57,140455.94960355485,59.91
8828308881fffff,20.0,24.45,160000.0,69.34
8828308883fffff,20.0,24.45,160000.0,69.34
8828308885fffff,20.0,24.45,160000.0,69.34
8828308887fffff,20.0,24.45,160000.0,69.34
8828308889fffff,20.0,24.45,160000.0,69.34
882830888bfffff,20.0,24.45,160000.0,69.34
882830888dfffff,20.0,24.45,160000.0,69.34
8828308891fffff,20.0,24.45,160000.0,69.34
8828308893fffff,25.0,23.05,148306.9542866414,62.46
8828308895fffff,20.0,24.45,160000.0,69.34
8828308897fffff,20.0,24.45,160000.0,69.34
8828308899fffff,115.0,18.85,113350.33547323025,48.96
882830889bfffff,192.0,18.37,109388.34162337503,47.81
882830889dfffff,20.0,24.45,160000.0,69.34
88283088a1fffff,20.0,24.45,160000.0,69.34
88283088a3fffff,20.0,24.45,160000.0,69.34
88283088a5fffff,20.0,24.45,160000.0,69.34
88283088a7fffff,20.0,24.45,160000.0,69.34
88283088a9fffff,20.0,24.45,160000.0,69.34
88283088abfffff,20.0,24.45,160000.0,69.34
88283088adfffff,20.0,24.45,160000.0,69.34
88283088b1fffff,20.0,24.45,160000.0,69.34
88283088b3fffff,20.0,24.45,160000.0,69.34
88283088b5fffff,20.0,24.45,160000.0,69.34
88283088b7fffff,20.0,24.45,160000.0,69.34
88283088b9fffff,20.0,24.45,160000.0,69.34
88283088bbfffff,20.0,24.45,160000.0,69.34
88283088bdfffff,20.0,24.45,160000.0,69.34
88283088c1fffff,57.0,22.01,208809.9500052633,84.09
88283088c3fffff,20.0,24.45,160140.50824713393,70.53
88283088c5fffff,30.0,23.19,185182.84598546257,81.9
88283088c7fffff,20.0,24.45,160000.0,69.34
88283088c9fffff,124.0,21.29,223207.0,85.77
88283088cbfffff,111.0,21.36,221793.01568031684,85.38
88283088cdfffff,124.0,21.29,223186.6675026413,85.62
88283088d1fffff,20.0,24.45,160000.0,69.34
88283088d3fffff,20.0,24.45,160000.0,69.34
88283088d5fffff,20.0,24.45,160000.0,69.34
88283088d7fffff,20.0,24.45,160000.0,69.34
88283088d9fffff,16.0,24.45,160000.0,69.34
88283088dbfffff,246.0,26.52,210254.75064458782,84.14
88283088ddfffff,64.0,21.86,211941.4320115273,84.29
88283088e1fffff,68.0,24.25,228655.7574613537,87.21
88283088e3fffff,20.0,24.45,160000.0,69.34
88283088e5fffff,263.0,24.19,250001.0,93.51
88283088e7fffff,36.0,24.33,203541.19460649588,83.36
88283088e9fffff,178.0,20.17,241481.30310097936,89.47
88283088ebfffff,20.0,24.45,160466.8262470511,70.62
88283088edfffff,268.0,20.82,250001.0,93.51
8828308901fffff,566.0,20.68,165773.59831848426,78.45
8828308903fffff,230.0,16.95,248249.3941401644,90.8
8828308905fffff,511.0,19.06,186820.15645893593,82.15
8828308907fffff,220.0,21.68,238709.4321100759,89.14
8828308909fffff,1045.0,24.98,189108.07276505404,82.37
882830890bfffff,660.0,21.84,140419.2967177977,59.85
882830890dfffff,1284.0,22.26,133853.95652310117,58.19
8828308911fffff,214.0,15.71,250001.0,93.51
8828308913fffff,108.0,21.55,250001.0,93.51
8828308915fffff,154.0,21.97,245930.99597238164,90.27
8828308917fffff,98.0,22.7,250001.0,93.51
8828308919fffff,409.0,23.68,250001.0,93.51
882830891bfffff,349.0,20.46,250000.99999999997,92.32
882830891dfffff,273.0,14.34,250001.0,93.51
8828308921fffff,725.0,25.09,174924.7571115793,80.29
8828308923fffff,816.0,27.83,154871.1258233768,64.25
8828308925fffff,2028.0,19.47,165396.94309576947,78.32
8828308927fffff,1439.0,18.87,143621.68784481613,61.19
8828308929fffff,523.0,15.21,182088.58573773457,81.46
882830892bfffff,589.0,25.0,191385.63397826263,82.57
882830892dfffff,1209.0,25.57,144682.8214111323,61.44
8828308931fffff,360.0,17.07,232327.5779091157,87.94
8828308933fffff,234.0,18.21,235900.98046866755,88.72
8828308935fffff,729.0,26.26,176473.04415338492,80.8
8828308937fffff,495.0,16.5,230533.86376562828,87.57
8828308939fffff,242.0,21.73,243143.11103020344,89.71
882830893bfffff,139.0,22.22,246604.16054371817,90.4
882830893dfffff,597.0,25.5,179976.18698348338,81.22
8828308941fffff,572.0,20.62,250001.0,93.51
8828308943fffff,662.0,21.82,250001.0,93.51
8828308945fffff,721.0,23.77,227742.3043313236,87.15
8828308947fffff,936.0,23.82,233265.35682713432,88.08
8828308949fffff,361.0,21.78,250001.0,93.51
882830894bfffff,361.0,21.78,250001.00000000003,94.72
882830894dfffff,584.0,23.44,249473.9831461751,91.53
8828308951fffff,370.0,12.77,187135.96834257143,82.17
8828308953fffff,354.0,20.92,229661.54198366503,87.46
8828308955fffff,1300.0,14.31,186769.71835173212,82.1
8828308957fffff,996.0,11.8,181724.05211422572,81.42
8828308959fffff,351.0,22.84,201480.34948068278,83.3
882830895bfffff,269.0,14.31,197721.0,83.03
882830895dfffff,332.0,19.85,236502.86398409214,88.78
8828308961fffff,899.0,20.17,165393.20352864024,78.3
8828308963fffff,1256.0,19.85,138223.24783957313,59.03
8828308965fffff,1196.0,17.65,138404.5371745621,59.07
8828308967fffff,841.0,18.75,141376.89650650226,60.71
8828308969fffff,1048.0,76.58,103602.2372130065,46.31
882830896bfffff,802.0,18.21,196164.3505435387,82.92
882830896dfffff,1537.0,34.13,139537.0736399027,59.65
8828308981fffff,20.0,24.45,160000.0,69.34
8828308983fffff,20.0,24.45,160000.0,69.34
8828308985fffff,20.0,24.45,160000.0,69.34
8828308987fffff,20.0,24.45,160000.0,69.34
8828308989fffff,23.0,24.2,172876.4594155051,80.2
882830898bfffff,20.0,24.45,160000.0,69.34
882830898dfffff,44.0,23.25,222021.855359867,85.4
8828308991fffff,20.0,24.45,160000.0,69.34
8828308993fffff,20.0,24.45,160000.0,69.34
8828308995fffff,20.0,24.45,160000.0,69.34
8828308997fffff,20.0,24.45,160000.0,69.34
8828308999fffff,20.0,24.45,160000.0,69.34
882830899bfffff,20.0,24.45,160000.0,69.34
882830899dfffff,20.0,24.45,160000.0,69.34
88283089a1fffff,82.0,22.79,245486.0594416072,90.13
88283089a3fffff,25.0,24.04,181131.1255533704,81.33
88283089a5fffff,98.0,22.7,250000.99999999997,92.32
88283089a7fffff,81.0,22.8,245116.80166109497,90.09
88283089a9fffff,58.0,23.01,234083.32524660573,88.45
88283089abfffff,20.0,24.45,160000.0,69.34
88283089adfffff,98.0,22.7,250000.99999999997,92.32
88283089b1fffff,20.0,24.45,160000.0,69.34
88283089b3fffff,20.0,24.45,160000.0,69.34
88283089b5fffff,20.0,24.45,160000.0,69.34
88283089b7fffff,20.0,24.45,160000.0,69.34
88283089b9fffff,20.0,24.45,160000.0,69.34
88283089bbfffff,20.0,24.45,160000.0,69.34
88283089bdfffff,20.0,24.45,160000.0,69.34
88283089c1fffff,272.0,15.32,250001.0,93.51
88283089c3fffff,104.0,22.55,243486.0010074941,89.78
88283089c5fffff,186.0,16.53,250001.0,93.51
88283089c7fffff,115.0,20.35,249162.5490309302,91.28
88283089c9fffff,271.0,19.79,250001.00000000003,94.72
88283089cbfffff,264.0,23.55,250001.00000000003,94.72
88283089cdfffff,206.0,15.88,250000.99999999997,92.32
