h3,pop,pct65,income,ac_est,ac_src
8829a18207fffff,91.0,39.4,187174.16241422636,83.8,measured
8829a18209fffff,0.0,0.0,,65.01,income-model
8829a1820bfffff,0.0,0.0,,65.01,income-model
8829a1820dfffff,0.0,0.0,,65.01,income-model
8829a18211fffff,63.0,33.84,202763.0,70.1,measured
8829a18213fffff,77.0,33.84,202763.0,70.1,measured
8829a18215fffff,77.0,33.84,202763.0,70.1,measured
8829a18217fffff,77.0,33.84,202763.0,70.1,measured
8829a18219fffff,0.0,0.0,,65.01,income-model
8829a1821bfffff,37.0,33.84,202763.0,70.1,measured
8829a1821dfffff,5.0,33.84,202763.0,70.1,measured
8829a18221fffff,59.0,32.66,183702.9572307956,83.8,measured
8829a18223fffff,46.0,29.51,182083.00000000003,83.8,measured
8829a18225fffff,46.0,29.51,182083.00000000003,83.8,measured
8829a18227fffff,46.0,29.51,182083.0,83.8,measured
8829a18229fffff,62.0,42.77,188907.1093271321,83.8,measured
8829a1822bfffff,89.0,37.45,186169.5572100243,83.8,measured
8829a1822dfffff,40.0,42.35,188689.99499629674,83.8,measured
8829a18231fffff,46.0,29.51,182082.99999999997,83.8,measured
8829a18233fffff,62.0,32.28,195323.829335169,75.03,measured
8829a18235fffff,46.0,29.51,182083.0,83.8,measured
8829a18237fffff,46.0,29.51,182083.00000000003,83.8,measured
8829a18239fffff,53.0,30.89,188701.933743002,79.42,measured
8829a1823bfffff,74.0,33.51,201165.2336743679,71.16,measured
8829a1823dfffff,46.0,29.51,182083.0,83.8,measured
8829a18241fffff,0.0,0.0,,65.01,income-model
8829a18243fffff,0.0,0.0,,65.01,income-model
8829a18245fffff,0.0,0.0,,65.01,income-model
8829a18247fffff,0.0,0.0,,65.01,income-model
8829a18249fffff,0.0,0.0,,65.01,income-model
8829a1824bfffff,0.0,0.0,,65.01,income-model
8829a1824dfffff,0.0,0.0,,65.01,income-model
8829a18251fffff,0.0,0.0,,65.01,income-model
8829a18253fffff,0.0,0.0,,65.01,income-model
8829a18255fffff,0.0,0.0,,65.01,income-model
8829a18257fffff,0.0,0.0,,65.01,income-model
8829a18259fffff,0.0,0.0,,65.01,income-model
8829a1825bfffff,0.0,0.0,,65.01,income-model
8829a1825dfffff,0.0,0.0,,65.01,income-model
8829a18261fffff,0.0,0.0,,65.01,income-model
8829a18263fffff,0.0,0.0,,65.01,income-model
8829a18265fffff,0.0,0.0,,65.01,income-model
8829a18267fffff,0.0,0.0,,65.01,income-model
8829a18269fffff,0.0,0.0,,65.01,income-model
8829a1826bfffff,0.0,0.0,,65.01,income-model
8829a1826dfffff,0.0,0.0,,65.01,income-model
8829a182a1fffff,94.0,19.51,144309.0,71.6,measured
8829a182a3fffff,94.0,19.51,144309.0,71.6,measured
8829a182a5fffff,94.0,19.51,144309.0,71.6,measured
8829a182a7fffff,94.0,19.51,144309.0,71.6,measured
8829a182a9fffff,94.0,19.51,144309.0,71.6,measured
8829a182abfffff,94.0,19.51,144309.0,71.6,measured
8829a182adfffff,90.0,19.89,145725.92626975602,72.06,measured
8829a182e1fffff,77.0,33.81,202580.2226155759,70.22,measured
8829a182e3fffff,86.0,25.6,169162.41675497568,70.96,measured
8829a182e5fffff,57.0,31.45,191361.91789385432,77.65,measured
8829a182e7fffff,76.0,24.18,162789.57933831963,73.56,measured
8829a182e9fffff,77.0,33.84,202763.0,70.1,measured
8829a182ebfffff,77.0,33.84,202763.0,70.1,measured
8829a182edfffff,77.0,33.84,202763.0,70.1,measured
8829a18301fffff,650.0,27.02,111151.82914999682,87.5,measured
8829a18303fffff,277.0,27.61,131196.55179764415,86.95,measured
8829a18305fffff,1315.0,26.98,193912.57445621135,86.88,measured
8829a18307fffff,188.0,25.5,121906.57021152599,87.46,measured
8829a18309fffff,12.0,27.02,111154.99999999999,87.5,measured
8829a1830bfffff,276.0,28.94,175626.93810364197,85.78,measured
